search_term,text,href,company_text,location_text,datetime,time_ago
Data-Analyst,Data Engineer (ETL Developer),https://www.jobstreet.co.id/en/job/data-engineer-etl-developer-4509449,PT Lawencon Internasional,Jakarta Raya,2023-10-25 07:42:58,11d ago
Data-Analyst,Data Engineer (ETL Developer),https://www.jobstreet.co.id/en/job/data-engineer-etl-developer-4509514,PT Linov Roket Prestasi,Jakarta Raya,2023-10-25 08:08:36,11d ago
Data-Analyst,Sales Data Analyst,https://www.jobstreet.co.id/en/job/sales-data-analyst-4508422,PT. Satya Langgeng Sentosa,Jakarta Barat,2023-10-24 09:14:00,12d ago
Data-Analyst,Purchasing / Warehouse / Supply Chain / Data Analyst,https://www.jobstreet.co.id/en/job/purchasing-warehouse-supply-chain-data-analyst-4508663,PT GREENLY LIFESTYLE INDONESIA,Jakarta Selatan,2023-10-24 15:43:07,12d ago
Data-Analyst,Data Analyst (for GetPlus),https://www.jobstreet.co.id/en/job/data-analyst-for-getplus-4507756,PT Merah Cipta Media,Jakarta Raya,2023-10-24 03:42:03,12d ago
Data-Analyst,JUNIOR STAFF DATA ANALYST,https://www.jobstreet.co.id/en/job/junior-staff-data-analyst-4506268,PT NITERRA MOBILITY INDONESIA,Jakarta Timur,2023-10-23 02:49:53,13d ago
Data-Analyst,Data Analyst Staff (CFIAT - Surabaya),https://www.jobstreet.co.id/en/job/data-analyst-staff-cfiat-surabaya-4507240,Indoprima Group,Gresik,2023-10-23 09:52:30,13d ago
Data-Analyst,Specialist Business Solution ILS,https://www.jobstreet.co.id/en/job/specialist-business-solution-ils-4518660,PT Cipta Krida Bahari,Surabaya,2023-11-03 10:01:04,2d ago
Data-Analyst,Risk Management Supervisor,https://www.jobstreet.co.id/en/job/risk-management-supervisor-4517556,"PT Clipan Finance Indonesia, Tbk",Jakarta Selatan,2023-11-02 10:39:47,3d ago
Data-Analyst,Retail Analyst Division Manager,https://www.jobstreet.co.id/en/job/retail-analyst-division-manager-4516536,PT Navya Retail Indonesia,Jakarta Barat,2023-11-02 02:21:07,3d ago
Data-Analyst,IT  Junior Product Manager,https://www.jobstreet.co.id/en/job/it-junior-product-manager-4515469,PT LANGGENG SUKSES ABADI TEKHNOLOGI,Jakarta Raya,2023-11-01 03:11:12,4d ago
Data-Analyst,Retail Admin Sales Staff  (Location : Sentul Industrial Estate),https://www.jobstreet.co.id/en/job/retail-admin-sales-staff-location-%3A-sentul-industrial-estate-4515297,PT Cheetham Garam Indonesia,Jakarta Raya,2023-11-01 02:00:10,4d ago
Data-Analyst,PRODUCTION MANAGER,https://www.jobstreet.co.id/en/job/production-manager-4516100,Strawland,Cibinong,2023-11-01 08:56:11,4d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4505296,PT Akulaku Silvrr Indonesia,Depok,2023-10-20 07:23:32,16d ago
Data-Analyst,Business Analyst,https://www.jobstreet.co.id/en/job/business-analyst-4514435,Erajaya Group,Cikupa,2023-10-31 05:06:12,5d ago
Data-Analyst,HEAD OF MARKETING,https://www.jobstreet.co.id/en/job/head-of-marketing-4513976,Capital Bakery & Cake,Jakarta Pusat,2023-10-31 02:08:22,5d ago
Data-Analyst,Event Coordinator,https://www.jobstreet.co.id/en/job/event-coordinator-4505084,PT Harmoni Dinamik Indonesia,Jakarta Barat,2023-10-20 04:36:51,16d ago
Data-Analyst,Data Analyst (Procurement),https://www.jobstreet.co.id/en/job/data-analyst-procurement-4504630,PT Union Sampoerna Triputra Persada,Jakarta Barat,2023-10-19 10:58:39,17d ago
Data-Analyst,Data Analyst Officer,https://www.jobstreet.co.id/en/job/data-analyst-officer-4504484,PT Asuransi Jiwa Sinarmas MSIG Tbk.,Jakarta Pusat,2023-10-19 09:24:12,17d ago
Data-Analyst,Admin Marketing,https://www.jobstreet.co.id/en/job/admin-marketing-4512719,PT Unitama Sari Mas,Jakarta Raya,2023-10-30 02:42:47,6d ago
Data-Analyst,Instruktur,https://www.jobstreet.co.id/en/job/instruktur-4504552,Screenesia,Jakarta Selatan,2023-10-19 11:18:19,17d ago
Data-Analyst,Corporate Planning Assistant Manager,https://www.jobstreet.co.id/en/job/corporate-planning-assistant-manager-4512778,PT Asuransi MSIG Indonesia,Jakarta Utara,2023-10-30 03:07:50,6d ago
Data-Analyst,Staff Data Analyst,https://www.jobstreet.co.id/en/job/staff-data-analyst-4503212,PT. Sejahtera Khatulistiwa Perkasa,Makassar,2023-10-18 09:06:50,18d ago
